CreatedOn,Location,InquiryDate,InquirySource,ProspectStatus,ProspectDate,ApplicationStatus,ApplicationStartedDate,ApplicationCompletedDate,ApplicationSubmittedDate,ApplicationMovedtoERPDate,AdmitDate,EnrolledDate,AcademicLevelofInterest,academicProgramofInterest,AnticipatedEntryTerm,MarketingCampaign,MarketingMedium,MarketingSource
12/5/2016,St. Louis Home Campus,12/5/2016,"Web, Create Account",Application Submitted,12/5/2016,Submitted,12/25/2016,,12/25/2016,,,,Graduate,art History and Criticism,"Fall I, 2017",(not%20set),(not%20set),
2/12/2017,St. Louis Home Campus,2/12/2017,Online Application,Application Submitted,2/12/2017,Submitted,2/12/2017,,2/12/2017,,,,Graduate,art History and Criticism,"Fall I, 2017",(referral),referral,webster.edu
7/15/2016,St. Louis Home Campus,7/15/2016,"Web, Create Account",Inquiry,7/15/2016,,,,,,,,Graduate,art History and Criticism,"Fall I, 2017",(direct),(none),(direct)
7/15/2016,St. Louis Home Campus,7/15/2016,"Web, Inquiry",Inquiry,7/15/2016,,,,,,,,Graduate,art History and Criticism,"Fall I, 2017",(referral),referral,webster.edu
10/26/2016,Greenville Metro,,,Prospect,10/26/2016,,,,,,,,Graduate,art History and Criticism,"Fall I, 2017",,,
6/15/2016,St. Louis Home Campus,6/8/2016,Online Application,Enrolled,6/8/2016,Exported to ERP,6/15/2016,7/25/2016,6/23/2016,,7/25/2016,8/10/2016,Graduate,art: Studio art,"Fall I, 2016",(organic),organic,google
6/21/2016,St. Louis Home Campus,6/15/2016,Online Application,Enrolled,6/15/2016,Exported to ERP,6/21/2016,10/6/2016,6/21/2016,10/6/2016,,11/11/2016,Graduate,art: Studio art,"Spring I, 2017",(direct),(none),(direct)
7/27/2016,St. Louis Home Campus,7/27/2016,Online Application,Application Started,7/27/2016,Started,7/27/2016,,,,,,Graduate,art: Studio art,"Fall I, 2016",,,
9/4/2016,St. Louis Home Campus,9/4/2016,Online Application,Application Started,9/4/2016,Started,9/4/2016,,,,,,Graduate,art: Studio art,"Spring I, 2017",Graduate_ALL,Microsite,Microsite_Link
9/6/2016,St. Louis Home Campus,9/6/2016,Online Application,Application Started,9/6/2016,Started,9/6/2016,,,,,,Graduate,art: Studio art,"Fall I, 2017",(referral),referral,webster.edu
